Site identification,Year,Transect,Quadrat,Species Common Name,Count
Identification du site,Année,Transect,Quadrat,Nom commun de l’espèce,Dénombrement
4,1997,1.7,-7.1,Butter Clam,0
4,1997,1.7,-7.1,Littleneck Clam,0
4,1997,1.7,-7.1,Manila Clam,0
4,1997,1.7,-7.1,Varnish Clam,0
4,1997,1.7,3.2,Butter Clam,0
4,1997,1.7,3.2,Littleneck Clam,7
4,1997,1.7,3.2,Manila Clam,5
4,1997,1.7,3.2,Varnish Clam,0
4,1997,1.7,7.8,Butter Clam,0
4,1997,1.7,7.8,Littleneck Clam,2
4,1997,1.7,7.8,Manila Clam,0
4,1997,1.7,7.8,Varnish Clam,0
4,1997,20.2,-6,Butter Clam,5
4,1997,20.2,-6,Littleneck Clam,5
4,1997,20.2,-6,Manila Clam,0
4,1997,20.2,-6,Varnish Clam,0
4,1997,20.2,3.4,Butter Clam,1
4,1997,20.2,3.4,Littleneck Clam,3
4,1997,20.2,3.4,Manila Clam,2
4,1997,20.2,3.4,Varnish Clam,0
4,1997,20.2,15.6,Butter Clam,0
4,1997,20.2,15.6,Littleneck Clam,0
4,1997,20.2,15.6,Manila Clam,0
4,1997,20.2,15.6,Varnish Clam,0
4,1997,27.2,-5.5,Butter Clam,11
4,1997,27.2,-5.5,Littleneck Clam,6
4,1997,27.2,-5.5,Manila Clam,0
4,1997,27.2,-5.5,Varnish Clam,0
4,1997,27.2,20.5,Butter Clam,0
4,1997,27.2,20.5,Littleneck Clam,0
4,1997,27.2,20.5,Manila Clam,0
4,1997,27.2,20.5,Varnish Clam,0
4,1997,27.2,35,Butter Clam,0
4,1997,27.2,35,Littleneck Clam,0
4,1997,27.2,35,Manila Clam,0
4,1997,27.2,35,Varnish Clam,0
4,1997,37.6,-7.6,Butter Clam,5
4,1997,37.6,-7.6,Littleneck Clam,2
4,1997,37.6,-7.6,Manila Clam,0
4,1997,37.6,-7.6,Varnish Clam,0
4,1997,37.6,20.1,Butter Clam,0
4,1997,37.6,20.1,Littleneck Clam,0
4,1997,37.6,20.1,Manila Clam,0
4,1997,37.6,20.1,Varnish Clam,0
4,1997,37.6,26.9,Butter Clam,0
4,1997,37.6,26.9,Littleneck Clam,0
4,1997,37.6,26.9,Manila Clam,0
4,1997,37.6,26.9,Varnish Clam,0
4,1997,40.9,-19.8,Butter Clam,8
4,1997,40.9,-19.8,Littleneck Clam,6
4,1997,40.9,-19.8,Manila Clam,0
4,1997,40.9,-19.8,Varnish Clam,0
4,1997,40.9,18.7,Butter Clam,0
4,1997,40.9,18.7,Littleneck Clam,0
4,1997,40.9,18.7,Manila Clam,0
4,1997,40.9,18.7,Varnish Clam,0
4,1997,40.9,30.9,Butter Clam,0
4,1997,40.9,30.9,Littleneck Clam,0
4,1997,40.9,30.9,Manila Clam,0
4,1997,40.9,30.9,Varnish Clam,0
5,1997,34,-8,Butter Clam,0
5,1997,34,-8,Littleneck Clam,0
5,1997,34,-8,Manila Clam,106
5,1997,34,-8,Varnish Clam,0
5,1997,34,13.9,Butter Clam,0
5,1997,34,13.9,Littleneck Clam,0
5,1997,34,13.9,Manila Clam,35
5,1997,34,13.9,Varnish Clam,0
5,1997,34,21.3,Butter Clam,0
5,1997,34,21.3,Littleneck Clam,0
5,1997,34,21.3,Manila Clam,8
5,1997,34,21.3,Varnish Clam,0
5,1997,36,-21.9,Butter Clam,0
5,1997,36,-21.9,Littleneck Clam,0
5,1997,36,-21.9,Manila Clam,103
5,1997,36,-21.9,Varnish Clam,0
5,1997,36,-3.7,Butter Clam,0
5,1997,36,-3.7,Littleneck Clam,0
5,1997,36,-3.7,Manila Clam,74
5,1997,36,-3.7,Varnish Clam,0
5,1997,36,2,Butter Clam,0
5,1997,36,2,Littleneck Clam,0
5,1997,36,2,Manila Clam,52
5,1997,36,2,Varnish Clam,0
5,1997,49,0,Butter Clam,0
5,1997,49,0,Littleneck Clam,0
5,1997,49,0,Manila Clam,33
5,1997,49,0,Varnish Clam,0
5,1997,49,4,Butter Clam,0
5,1997,49,4,Littleneck Clam,0
5,1997,49,4,Manila Clam,0
5,1997,49,4,Varnish Clam,0
5,1997,49,15.9,Butter Clam,0
5,1997,49,15.9,Littleneck Clam,0
5,1997,49,15.9,Manila Clam,0
5,1997,49,15.9,Varnish Clam,0
5,1997,53,-7,Butter Clam,0
5,1997,53,-7,Littleneck Clam,0
5,1997,53,-7,Manila Clam,2
5,1997,53,-7,Varnish Clam,0
5,1997,53,3.4,Butter Clam,0
5,1997,53,3.4,Littleneck Clam,0
5,1997,53,3.4,Manila Clam,1
5,1997,53,3.4,Varnish Clam,0
5,1997,53,15.8,Butter Clam,0
5,1997,53,15.8,Littleneck Clam,0
5,1997,53,15.8,Manila Clam,0
5,1997,53,15.8,Varnish Clam,0
5,1997,54,-18.5,Butter Clam,0
5,1997,54,-18.5,Littleneck Clam,0
5,1997,54,-18.5,Manila Clam,0
5,1997,54,-18.5,Varnish Clam,0
5,1997,54,8,Butter Clam,0
5,1997,54,8,Littleneck Clam,0
5,1997,54,8,Manila Clam,0
5,1997,54,8,Varnish Clam,0
5,1997,54,25.6,Butter Clam,0
5,1997,54,25.6,Littleneck Clam,0
5,1997,54,25.6,Manila Clam,0
5,1997,54,25.6,Varnish Clam,0
6,1997,6.5,-26.7,Butter Clam,29
6,1997,6.5,-26.7,Littleneck Clam,24
6,1997,6.5,-26.7,Manila Clam,0
6,1997,6.5,-26.7,Varnish Clam,0
6,1997,6.5,-3.8,Butter Clam,1
6,1997,6.5,-3.8,Littleneck Clam,20
6,1997,6.5,-3.8,Manila Clam,35
6,1997,6.5,-3.8,Varnish Clam,0
6,1997,6.5,23.3,Butter Clam,0
